,축제이름,기간,장소
0,목포 문화재야행 2019,기간 : 2019.10.26,장소 : 전라남도 목포시
1,목포항구축제 2019,기간 : 2019. 10. 4. ~ 7. / 10:00~22:00,장소 : 전라남도 목포시
2,목포 문화재야행 2019,기간 : 2019.09.20 ~ 2019.09.22,장소 : 전라남도 목포시
3,목포세계마당페스티벌 2019,기간 : 2019년 8월 30일(금)~9월 1일(일) / 3일간,장소 : 전라남도 목포시
4,섬의 날 기념 『대한민국 썸 페스티벌』2019,기간 : 2019. 8. 8. ~ 10. / 10:00~21:00,장소 : 전라남도 목포시
