,정류장이름,정류장ID,위도,경도
936,오목대.한옥마을,JUB305100616,35.8155723,127.1544723
937,원상림,JUB305100618,35.8155053,127.074537
938,전라감영.완산경찰서,JUB305100619,35.81548195,127.14597309
939,신흥중고등학교,JUB305100621,35.81550005,127.13765637
940,다가교서문교회,JUB305100623,35.81552583,127.1395377
941,신흥중고등학교,JUB305100625,35.81577568,127.13766517
942,중산타운,JUB305100626,35.81580167,127.11849828
943,남노촌,JUB305100627,35.8159242,127.16095519
944,전라감영.완산경찰서,JUB305100628,35.81594824,127.14699101
945,중산타운,JUB305100629,35.8160768,127.1180911
946,영생고 전주대사대부고,JUB305100630,35.81613711,127.09498782
947,전일고 롯데마트,JUB305100631,35.81613987,127.10166346
948,전주우체국,JUB305100632,35.81454653,127.10578701
949,남노촌,JUB305100633,35.81621072,127.16103991
950,오목대.한옥마을,JUB305100634,35.8162542,127.15488388
951,보훈지청 롯데마트,JUB305100636,35.81647317,127.1019943
952,전주우체국,JUB305100637,35.81431468,127.10612158
953,서문,JUB305100640,35.8167323,127.14111827
954,근영여고,JUB305100642,35.81698235,127.12264333
955,팔달로 예술회관,JUB305100643,35.81706612,127.14748975
956,서문,JUB305100644,35.81714449,127.14150244
957,팔달로 예술회관,JUB305100645,35.81708281,127.14730145
958,다가교,JUB305100646,35.8173306,127.13925742
959,근영여고,JUB305100647,35.81746507,127.12326236
960,충경로 객사,JUB305100648,35.81798392,127.14542022
961,충경로 객사,JUB305100649,35.81819855,127.14507178
962,전주대학교,JUB305100650,35.8184177,127.09213921
963,전주대학교,JUB305100651,35.81852007,127.0922917
964,충경로KT전주지사,JUB305100657,35.81872473,127.14790878
965,효자다리,JUB305100658,35.8188954,127.1143533
966,유로병원,JUB305100659,35.8189057,127.1033784
967,효자로전라북도도청,JUB305100661,35.8189981,127.10806708
968,전주대종점,JUB305100663,35.81958534,127.0903328
969,효자다리,JUB305100664,35.81915827,127.11485053
970,유로병원,JUB305100665,35.81920232,127.10407321
971,흥국화재,JUB305100666,35.81917719,127.14684003
972,효자로전라북도도청,JUB305100667,35.81918961,127.10768278
973,한들초교,JUB305100668,35.81934559,127.11804018
974,한들초교,JUB305100671,35.81952348,127.11834471
975,외환은행,JUB305100675,35.81950149,127.14647881
976,동부시장,JUB305100677,35.81964957,127.15085875
977,화산체육관.전주시립도서관꽃심,JUB305100680,35.81981826,127.12257289
978,동부시장,JUB305100681,35.81983521,127.15058311
979,CTS전북방송,JUB305100683,35.8199967,127.14640711
980,은화학교,JUB305100684,35.82011356,127.08885531
981,은화학교,JUB305100687,35.82026499,127.08900147
982,도토리골다리,JUB305100688,35.82025314,127.13657217
983,도토리골다리,JUB305100691,35.82045026,127.13676333
984,북문,JUB305100694,35.82067316,127.14596591
985,기린봉,JUB305100696,35.8209852,127.1612903
986,화산체육관.전주시립도서관꽃심,JUB305100697,35.82091815,127.12313503
987,기린봉,JUB305100699,35.8212485,127.161608
988,전북은행경원지점,JUB305100701,35.8209676,127.14605365
989,기린대로 병무청,JUB305100703,35.82102609,127.15214193
990,기린대로 병무청,JUB305100704,35.82134554,127.15240164
991,전주초교,JUB305100706,35.82151057,127.14003866
992,전북연구원,JUB305100707,35.82162632,127.08473105
993,중화산2동주민센터,JUB305100709,35.81996786,127.11609981
994,중화산2동주민센터,JUB305100710,35.8199958,127.11622123
995,홍산로전북도청,JUB305100712,35.8216641,127.10628065
996,홍산로전북도청,JUB305100713,35.82167454,127.10569896
997,전주초교,JUB305100716,35.8216286,127.14015912
998,효자공원,JUB305100717,35.82187035,127.08483503
999,농협태평지점,JUB305100720,35.82246074,127.13745777
1000,상진신협,JUB305100721,35.82265575,127.14389968
1001,농협태평지점,JUB305100725,35.82253727,127.13762782
1002,상진신협,JUB305100726,35.82255149,127.14318146
1003,만절리고개,JUB305100728,35.82308766,127.08156919
1004,전주제일고 입구,JUB305100729,35.82294804,127.15534938
1005,오신마을,JUB306101550,35.8869503,127.0369104
1006,삼화동,JUB306101553,35.88779937,127.08865565
1007,삼화동,JUB306101554,35.88784692,127.08889106
1008,백석마을,JUB306101558,35.88839492,127.12746806
1009,진기마을,JUB306101559,35.88847097,127.096852
1010,진기마을,JUB306101560,35.88856377,127.09685722
1011,백석마을,JUB306101561,35.88857992,127.12777806
1012,주정마을,JUB306101563,35.8894311,127.1046635
1013,주정마을,JUB306101564,35.8894721,127.1048018
1014,진조마을입구,JUB306101565,35.88930687,127.1221038
1015,진조마을입구,JUB306101567,35.88952252,127.12204822
1016,전당리,JUB306101569,35.88968292,127.12624006
1017,전당리,JUB306101572,35.88991092,127.12632506
1018,화전리,JUB306101574,35.8909179,127.0769128
1019,신유강,JUB306101578,35.89078306,127.00220289
1020,신유강,JUB306101579,35.89095507,127.00182389
1021,화전리,JUB306101581,35.89108025,127.07717972
1022,굴신마을,JUB306101589,35.89195941,127.04540731
1023,굴신마을,JUB306101591,35.89208305,127.04542411
1024,신성리,JUB306101593,35.89219012,127.03910551
1025,고잔,JUB306101594,35.89222628,127.0244804
1026,신성리,JUB306101595,35.8922572,127.0390501
1027,고잔,JUB306101598,35.89259892,127.02458106
1028,동계,JUB306101599,35.89276591,127.01706647
1029,동계,JUB306101600,35.89276907,127.01697566
1030,신미산,JUB306101601,35.8925611,127.1023599
1031,신미산,JUB306101602,35.8926876,127.10247
1032,만경강변.원화전,JUB306101606,35.8946013,127.0656409
1033,만경강변.원화전,JUB306101607,35.8946515,127.0657957
1034,신중마을,JUB306101609,35.89488999,127.1424505
1035,신중마을,JUB306101610,35.89511686,127.1423838
1036,진조리,JUB306101611,35.89515165,127.1185346
1037,진조리,JUB306101612,35.89517837,127.11862433
1038,은평마을,JUB306101617,35.89615413,127.12519115
1039,은평마을,JUB306101618,35.89632568,127.12539149
1040,진조리종점,JUB306101625,35.89984361,127.12006793
1041,진조리종점,JUB306101626,35.89995688,127.12023356
1042,하오마을,JUB306101628,35.90014623,127.13340025
1043,하오마을,JUB306101630,35.90030901,127.13320554
1044,월드컵경기장입구,JUB306101985,35.86404003,127.06862571
1045,동부대로 농수산시장,JUB306101998,35.8696339,127.1175725
