,축제이름,기간,장소
0,목포 문화재야행 2018,기간 : 2018.10.26~27 / 18:00~23:00,장소 : 전라남도 목포시
1,목포 문화재야행 2018,"기간 : 1차 : 2018.09.07~08, 2차 : 2018.10.26~27 / 18:00~23:00",장소 : 전라남도 목포시
2,목포항구축제 2018,기간 : 2018. 10.5(금) ~10.7(일) / 10:00~22:00,장소 : 전라남도 목포시
3,목포세계마당페스티벌 2018,기간 : 2018.08.31 ~2018.09.02 / 18:00~23:00,장소 : 전라남도 목포시
4,목포 이순신 수군 문화제 2018,기간 : 2018.04.07~2018.04.08,장소 : 전라남도 목포시
