,정류장이름,정류장ID,위도,경도
125,목포요양병원,MPB115000114,34.7862709,126.3884069
126,온금동,MPB115000118,34.7806723,126.3713728
127,인어바위,MPB115000119,34.781974,126.3688032
128,용전마을,MPB115000125,34.791797,126.367262
129,삼학파출소,MPB120000002,34.7873183,126.4004757
130,삼학도입구,MPB120000004,34.78729,126.394483
131,한국병원,MPB120000018,34.8072769,126.4159534
132,카톨릭대학교,MPB120000023,34.826597,126.421808
133,세종병원,MPB120000024,34.828165,126.420603
134,고속주유소,MPB120000026,34.834252,126.418853
135,전남예술고입구,MPB120000028,34.8470413,126.4258776
136,삼성물류센터,MPB120000029,34.851003,126.427175
137,왕산,MPB120000030,34.854692,126.42796
138,평산,MPB120000031,34.857133,126.42745
139,덕산,MPB120000032,34.866992,126.425053
140,지산군부대,MPB120000033,34.868852,126.422827
141,원지산,MPB120000034,34.87564,126.425147
142,구암삼거리,MPB120000035,34.889627,126.430383
143,법천사입구,MPB120000036,34.894683,126.432405
144,청계고개,MPB120000037,34.900728,126.433273
145,목포대학교,MPB120000038,34.9072,126.430963
146,청계면사무소,MPB120000039,34.91103,126.429637
147,청계중학교,MPB120000040,34.914673,126.428432
148,월암마을,MPB120000041,34.917297,126.427533
149,상마삼거리,MPB120000042,34.92162,126.42645
150,한국폴리텍대학,MPB120000043,34.924755,126.427637
151,초원농장,MPB120000044,34.9298244,126.4309189
152,대성동,MPB120000045,34.932138,126.432488
153,서씨묘역입구,MPB120000046,34.939517,126.439263
154,청계농공단지,MPB120000047,34.943335,126.441918
155,태봉리,MPB120000048,34.949173,126.443558
156,청계북초등학교,MPB120000049,34.956635,126.447218
157,화설당,MPB120000050,34.9649,126.454553
158,청천리,MPB120000051,34.969188,126.457623
159,큰골,MPB120000052,34.9749643,126.4637917
160,무안군농업기술센터,MPB120000053,34.9777427,126.467098
161,초당대학교,MPB120000054,34.980297,126.4700458
162,백제고등학교,MPB120000055,34.9831602,126.4732748
163,무안군청,MPB120000057,34.9904036,126.4805637
164,무안교통(종점),MPB120000059,34.9983821,126.4871732
165,용산,MPB120000060,34.994447,126.483245
166,무안터미널,MPB120000062,34.9871643,126.4776183
167,무안전화국,MPB120000063,34.98407,126.473972
168,초당대학교,MPB120000064,34.980247,126.469647
169,큰골,MPB120000066,34.975207,126.463808
170,청천리,MPB120000067,34.96887,126.45717
171,화설당,MPB120000068,34.964542,126.454202
172,청계북초등학교,MPB120000069,34.956483,126.44675
173,태봉리,MPB120000070,34.94824,126.44315
174,청계농공단지,MPB120000071,34.94328,126.441675
175,서씨묘역입구,MPB120000072,34.93942,126.43892
176,대성동,MPB120000073,34.932548,126.43264
177,초원농장,MPB120000074,34.9296687,126.4306363
178,한국폴리텍대학,MPB120000075,34.924028,126.426922
179,상마삼거리,MPB120000076,34.91988,126.42642
180,청계중학교,MPB120000077,34.91365,126.428527
181,청계,MPB120000078,34.910928,126.429438
182,목포대학교,MPB120000079,34.90715,126.430703
183,청계고개,MPB120000080,34.90032,126.433252
184,법천사입구,MPB120000081,34.894998,126.432253
185,구암삼거리,MPB120000082,34.889635,126.43011
186,장부다리,MPB120000083,34.887548,126.429305
187,원지산,MPB120000084,34.87927,126.42658
188,지산,MPB120000085,34.875705,126.424935
189,지산군부대,MPB120000086,34.868708,126.422622
190,평산,MPB120000087,34.856375,126.427388
191,왕산,MPB120000088,34.85444,126.427738
192,삼성물류센터,MPB120000089,34.850995,126.426945
193,전남예술고입구,MPB120000090,34.846895,126.425628
194,거북정,MPB120000092,34.834232,126.418355
195,용전마을,MPB100100003,34.7916504,126.3669768
196,아리랑고개입구,MPB100100010,34.7802944,126.3734053
197,목포수협,MPB100100012,34.7808034,126.3777448
198,목포수협공판장,MPB100100013,34.780925,126.38002
199,동명동어시장,MPB100100017,34.7874704,126.3904019
200,목포우체국,MPB100100026,34.804825,126.3974665
201,목포과학대학교,MPB100100030,34.806277,126.411937
202,국제여객선터미널,MPB100100058,34.7818439,126.3815646
203,송광아파트,MPB100100060,34.781747,126.379295
204,서산초등학교,MPB100100062,34.7805894,126.3755619
205,신안비치호텔,MPB100100066,34.784708,126.369543
206,해양대후문,MPB100100073,34.7935615,126.3649832
207,동명동사거리,MPB100101017,34.789385,126.3911
208,목포역,MPB100101019,34.7911588,126.3860022
209,목포미래병원,MPB100101036,34.822097,126.428068
210,임성리역,MPB100101038,34.8208587,126.435058
211,상용마을,MPB100101043,34.8232782,126.4504446
212,구옥남초등학교,MPB100101044,34.8179705,126.4534532
213,전남보훈협회,MPB100101047,34.811548,126.445828
214,남악아이파크,MPB100101048,34.8112199,126.4548779
215,목포우미파렌하이트,MPB100101049,34.8086358,126.4537571
216,한라비발디,MPB100101050,34.807438,126.455652
217,옥암모아엘가,MPB100101051,34.8081,126.458033
218,전남도청,MPB100101053,34.814222,126.4619
219,남악호수,MPB100101054,34.8123087,126.4656934
220,남악고등학교,MPB100101055,34.810962,126.46866
221,남악부영ⓐ,MPB100101056,34.812733,126.471323
222,삼향안동마을,MPB100101058,34.815517,126.480703
223,용포1구후정,MPB100101060,34.823573,126.484825
224,용포1구후정,MPB100101061,34.824897,126.48407
225,용포2리용계,MPB100101062,34.828455,126.478635
226,용포3리원용포,MPB100101063,34.830087,126.470465
227,삼향용계,MPB100101064,34.8293576,126.4751865
228,삼향용포2리,MPB100101065,34.8292453,126.4763088
229,삼향후정,MPB100101067,34.825963,126.482522
230,삼향안동,MPB100101068,34.8178767,126.4835445
231,삼향안동,MPB100101069,34.8178324,126.483638
232,삼향안동마을,MPB100101070,34.8155661,126.480588
233,무안남악부영,MPB100101071,34.8142637,126.472732
234,남악근화베아체ⓐ,MPB100101072,34.812727,126.471042
235,남악중학교,MPB100101073,34.8110819,126.4702175
236,남악고등학교,MPB100101074,34.811082,126.468777
237,남악소방서,MPB100101075,34.8122765,126.466153
238,목포우미파렌하이트,MPB100101082,34.8085583,126.454179
239,주공오룡마을,MPB100101083,34.812872,126.455262
240,근화옥암베아체,MPB100101084,34.814503,126.453082
241,법원검찰청,MPB100101085,34.81307,126.4456553
242,남악출장소,MPB100101087,34.81511,126.45513
243,구옥남초교앞(건너),MPB100101088,34.818115,126.453473
244,상용마을,MPB100101089,34.823352,126.450532
245,목포미래병원,MPB100101095,34.82273,126.4273907
246,보호관찰소,MPB100101096,34.8247579,126.4242207
247,목포과학대학교,MPB100101103,34.8065384,126.4115027
248,청해사,MPB100101104,34.8064028,126.4074376
249,문화방송,MPB100101105,34.8060434,126.4026726
250,홈플러스,MPB100101106,34.8056601,126.3995762
251,목포수협공판장,MPB100101122,34.780968,126.379492
252,아리랑고개입구,MPB100101125,34.7804122,126.3734638
253,낙조대,MPB100101130,34.7869457,126.3681833
254,대양검문소,MPB100102040,34.837432,126.422238
255,전남예술고등학교,MPB100102042,34.845458,126.429753
256,삼향초등학교,MPB100102043,34.843148,126.433022
257,유교삼거리,MPB100102044,34.843207,126.434742
258,군산동(종점),MPB100102047,34.8551975,126.4450611
259,유교삼거리,MPB100102050,34.843278,126.434657
260,삼향초등학교,MPB100102051,34.843245,126.432948
261,전남예술고등학교,MPB100102052,34.845447,126.42969
262,대양검문소,MPB100102054,34.8375912,126.4218828
263,해양대후문,MPB100103002,34.79349,126.365235
264,목포수협,MPB100103012,34.7806505,126.3777851
265,항동시장,MPB100103016,34.784932,126.3864466
266,산정초등학교입구,MPB100103022,34.7998335,126.3904713
267,2호광장,MPB100103023,34.8018203,126.3922812
268,연동파출소,MPB100103024,34.8038249,126.3954694
269,문화방송,MPB100103027,34.805918,126.403173
270,영신그린빌,MPB100103037,34.831518,126.418093
271,중앙고등학교,MPB100103040,34.835745,126.425458
272,근화희망타운,MPB100103041,34.837215,126.428052
273,중앙고등학교,MPB100103042,34.83577,126.4256883
274,영신그린빌,MPB100103045,34.831387,126.417767
275,목포수협,MPB100103072,34.7811235,126.3773601
276,구.상하수도사업단,MPB100200020,34.8108414,126.3892523
277,종원나이스빌,MPB100200022,34.807778,126.385665
278,목포YMCA,MPB100200030,34.788383,126.384758
279,초원주차장,MPB100200033,34.782585,126.382715
280,공생원,MPB100200042,34.785853,126.370305
281,유달유원지,MPB100200044,34.78823,126.367445
282,해양대학교,MPB100200045,34.790202,126.366425
283,구.서산초충무분교,MPB100200047,34.7621194,126.3679596
284,온금동,MPB100200054,34.7805914,126.3709095
285,인수당한약방,MPB100200062,34.787248,126.3863
286,목포여고,MPB100200066,34.7971138,126.3844366
287,대성동주민센터,MPB100200067,34.800905,126.383648
288,대성LH아파트,MPB100200068,34.8026901,126.3823817
289,대성동LH아파트,MPB100200069,34.802522,126.3817499
290,종원나이스빌,MPB100200070,34.807842,126.385858
291,산정동주민센터,MPB100200071,34.809005,126.386177
292,구.상하수도사업단,MPB100200072,34.8106028,126.3892938
293,용해2단지아파트,MPB100200075,34.812428,126.39849
294,청해사,MPB100200081,34.8060656,126.4075459
295,버스터미널(상동입구),MPB100200084,34.811788,126.4167416
296,한울웨딩홀,MPB100301002,34.7894308,126.4022402
297,삼학타운,MPB100301004,34.7941112,126.4022929
298,목포공업고등학교,MPB100301005,34.7969927,126.4023531
299,성신고등학교,MPB100301017,34.8173,126.411668
300,포미타운입구,MPB100301025,34.817188,126.398538
301,용해동주민센터,MPB100301026,34.816725,126.399528
302,연산동근화아파트,MPB100301032,34.8116882,126.3863032
303,연산주공APT,MPB100301033,34.8129782,126.3839134
304,목포중앙식료시장,MPB100301046,34.794717,126.379897
305,목포세무서,MPB100301047,34.7938018,126.3840451
306,목포세무서,MPB100302008,34.7937414,126.3848274
307,목포중앙식료시장,MPB100302009,34.7946888,126.3802806
308,북항회어시장,MPB100302016,34.8040247,126.3671836
309,용해초등학교,MPB100302033,34.819525,126.396067
310,항도여중,MPB100600006,34.8156383,126.4124884
311,버스터미널,MPB100600008,34.811092,126.417615
312,용해교,MPB100600011,34.80538,126.408875
313,신안인스빌,MPB100600012,34.802988,126.408802
314,용해동동아아파트,MPB100600014,34.797773,126.408728
315,제일중학교,MPB100600015,34.796363,126.408597
316,현악서예학원,MPB100600020,34.7879333,126.3989723
317,삼학한옥입구,MPB100600022,34.7926829,126.3990043
318,문태중고등학교,MPB100600026,34.799558,126.40174
319,시립도서관,MPB100600027,34.80137,126.400798
320,유달제일교회,MPB100600028,34.803473,126.399657
321,기쁜소식목포교회,MPB100600036,34.804563,126.386448
322,산정초등학교후문,MPB100600037,34.8013247,126.3881655
323,북교초등학교,MPB100600044,34.796185,126.378783
324,중앙시장,MPB100600054,34.809588,126.376133
325,라인아파트,MPB100600055,34.808475,126.375825
326,국제볼링장,MPB100600056,34.806107,126.373488
327,보건소사거리,MPB100600057,34.805053,126.374673
328,목포남교트윈스타,MPB100600064,34.792735,126.382145
329,호남119안전센터,MPB100600068,34.7966476,126.3881802
330,산정초등학교후문,MPB100600069,34.801395,126.38837
331,기쁜소식목포교회,MPB100600070,34.803718,126.387152
332,시립도서관,MPB100600079,34.801002,126.400755
333,목포공업고등학교,MPB100600081,34.7973232,126.4020044
334,삼학타운,MPB100600082,34.794622,126.40203
335,삼학한옥입구,MPB100600084,34.792525,126.39888
336,은혜슈퍼,MPB100600085,34.789913,126.39888
337,현악서예학원,MPB100600086,34.788002,126.398817
338,동백아파트,MPB100600089,34.789265,126.405108
339,제일중학교정문,MPB100600091,34.795988,126.408787
340,용해동아아파트,MPB100600092,34.79786,126.409
341,한국전력,MPB100600094,34.8031236,126.4091863
342,용해교,MPB100600095,34.805225,126.4092318
343,상동초등학교,MPB100600099,34.813378,126.413788
344,남해환경사업소,MPB100701003,34.790963,126.406717
345,제일중학교,MPB100701004,34.7951469,126.4093799
346,우성아파트,MPB100701011,34.8021439,126.4207759
347,용해동금호아파트,MPB100701014,34.8011194,126.4091219
348,행운타워,MPB100701030,34.8054817,126.3760143
349,보건소사거리,MPB100701031,34.8038235,126.3760149
350,중앙하이츠입구,MPB100701032,34.8024917,126.3775821
351,대성농협,MPB100701034,34.798057,126.382765
352,양동우체국,MPB100701035,34.7977,126.380183
353,북교동교회앞,MPB100701038,34.794112,126.379558
354,로데오광장,MPB100701040,34.791093,126.383348
355,유달산등구,MPB100701041,34.789142,126.3840663
356,유달산우체국,MPB100701042,34.7869298,126.3829627
357,종원빌라트,MPB100701051,34.7897786,126.3958349
358,한흥맨션,MPB100701052,34.7923091,126.395869
359,한흥맨션,MPB100702006,34.7923013,126.3957029
360,종원빌라트,MPB100702007,34.7907439,126.3956898
361,삼학우체국,MPB100702008,34.7886734,126.3956748
362,초원주차장,MPB100702015,34.7829,126.38257
363,상공회의소,MPB100702016,34.7852939,126.3823465
364,유달산등구,MPB100702018,34.7892797,126.3841442
365,로데오광장,MPB100702019,34.7906754,126.3836325
366,중앙하이츠입구,MPB100702028,34.80268,126.377633
367,산정동교회,MPB100702031,34.8077278,126.378835
368,연산주공후문,MPB100702032,34.8107149,126.3826298
369,용해동금호아파트,MPB100702046,34.80061,126.408822
370,목포고용노동부,MPB100702051,34.800347,126.421723
371,목포자연사박물관,MPB100702054,34.793092,126.422458
372,문화예술회관,MPB100702055,34.792593,126.417073
373,남해하수펌프장,MPB100702056,34.793585,126.412288
374,한성주택,MPB100702057,34.794568,126.407987
375,남해환경사업소,MPB100702058,34.7912,126.4064512
376,동백아파트,MPB100702059,34.789408,126.4048134
377,상공회의소,MPB100800011,34.7853285,126.382193
378,차없는거리,MPB100800014,34.791585,126.3850838
379,신안비치3차아파트,MPB100800025,34.8054297,126.3687418
380,구.서산초충무분교,MPB100800030,34.7620936,126.368102
381,고하마을,MPB100800031,34.765308,126.370252
382,고하마을,MPB100800032,34.7653229,126.3701668
383,현대삼호아파트3차,MPB100800037,34.748052,126.375832
384,삼호서초등학교,MPB100800038,34.746853,126.377718
385,한마음회관,MPB100800039,34.744857,126.381012
386,현대삼호아파트2차,MPB100800040,34.743872,126.383447
387,고하도입구,MPB100800048,34.7595185,126.3641491
388,농협북항지점,MPB100800062,34.807165,126.372225
389,구.제일극장,MPB100800068,34.7978412,126.3785229
390,북교초등학교,MPB100800069,34.795992,126.378722
391,목포여객선터미널,MPB100800077,34.7833348,126.3853369
392,동명동사거리(물양장),MPB100800080,34.7881,126.392483
393,4차입구,MPB100800081,34.787028,126.396633
394,삼학파출소,MPB100800082,34.786968,126.400108
395,부영2차아파트,MPB101000010,34.8038477,126.4309369
396,로고스교회,MPB101000011,34.8026611,126.4283777
397,보석사우나,MPB101000012,34.802823,126.427153
398,한솔문고,MPB101000013,34.804173,126.426092
399,하당우체국,MPB101000014,34.8071382,126.4240911
400,하당농협,MPB101000015,34.8081397,126.4230417
401,제일성결교회,MPB101000016,34.809873,126.423575
402,용당아파트,MPB101000026,34.808815,126.398902
403,용해2단지아파트,MPB101000028,34.8125442,126.3981213
404,마리아회고등학교,MPB101000029,34.8120379,126.3958868
405,구청호시장,MPB101000037,34.7947516,126.392861
406,대성농협,MPB101000044,34.798288,126.382743
407,연산초등학교,MPB101000056,34.810782,126.380117
408,중앙시장,MPB101000057,34.809975,126.3778785
409,연동초등학교,MPB101000073,34.796732,126.393175
410,2호광장,MPB101000074,34.8009344,126.3930309
411,동초등학교,MPB101000077,34.8096484,126.3884647
412,용해하이츠,MPB101000082,34.811283,126.39915
413,KT동목포지점,MPB101000083,34.809198,126.398765
414,한일시장,MPB101000084,34.806987,126.398392
415,버스터미널,MPB101000090,34.8109833,126.4180094
416,이마트,MPB101000091,34.810825,126.423305
417,제일성결교회,MPB101000092,34.809925,126.423342
418,하당농협,MPB101000093,34.808187,126.423262
419,한솔문고,MPB101000095,34.8045731,126.4255533
420,보석사우나,MPB101000096,34.8029384,126.4266939
421,제일여고,MPB101000100,34.807593,126.431785
422,하당보건소,MPB101000103,34.81694,126.425532
423,버스터미널후문,MPB101301006,34.8126721,126.4167847
424,이마트,MPB101301008,34.8107613,126.4255287
425,제일3차아파트,MPB101301009,34.8120385,126.4282235
426,하당중학교,MPB101301010,34.81042,126.429333
427,부영1차아파트,MPB101301012,34.804947,126.432908
428,부영2차아파트,MPB101301013,34.8039817,126.430793
429,유달경기장,MPB101301021,34.7990037,126.4008726
430,목포경찰서,MPB101301022,34.79907,126.397988
431,북교동교회앞,MPB101301030,34.793952,126.380085
432,햇빛약국,MPB101301032,34.798957,126.37834
433,죽교동주민센터,MPB101301033,34.8001037,126.3762819
434,북항회어시장,MPB101301037,34.8048305,126.3686003
435,목포남교트윈스타,MPB101301048,34.792755,126.382295
436,차없는거리,MPB101301049,34.791618,126.38428
437,목포역,MPB101301050,34.7917737,126.3861962
438,1호광장,MPB101301051,34.794152,126.387013
439,신세계볼링장,MPB101301059,34.8017103,126.4163258
440,중앙여중,MPB101301060,34.8025271,126.4182293
441,로고스교회,MPB101301064,34.802817,126.428192
442,하당중학교,MPB101301068,34.810983,126.429132
443,이마트,MPB101301071,34.810877,126.423787
444,버스터미널후문,MPB101301072,34.812988,126.416708
445,목포고용노동부,MPB101302014,34.8004725,126.4219291
446,신안군교육청,MPB101302029,34.784385,126.381368
447,석현삼거리,MPB101501002,34.8243966,126.4241488
448,하나로마트,MPB101501004,34.817947,126.42962
449,우미블루빌(후문),MPB101501010,34.799943,126.434937
450,롯데마트,MPB101501011,34.7997013,126.4304952
451,유달정보신문사,MPB101501012,34.800655,126.428598
452,초원아파트,MPB101501013,34.801175,126.425027
453,중바위,MPB101501015,34.794265,126.424623
454,근화황제아파트,MPB101501021,34.7901637,126.4040285
455,자유시장,MPB101501022,34.7926729,126.4022901
456,신안비치1차아파트,MPB101501041,34.8061094,126.3699854
457,산정동교회,MPB101501046,34.807702,126.378925
458,목포기상대,MPB101501049,34.8157086,126.3826323
459,삽진산단건너,MPB101501050,34.8198425,126.384549
460,용해펌프장,MPB101501052,34.8214547,126.3937241
461,포미타운입구,MPB101501054,34.817278,126.398628
462,용해호반리젠시빌,MPB101501056,34.8174166,126.3947971
463,포미타운103호,MPB101501058,34.817788,126.397662
464,구.목포경찰서,MPB101501061,34.814473,126.400052
465,산정농공단지 사거리,MPB101502051,34.816048,126.37444
466,농공단지 소방서,MPB101502052,34.818756,126.3774992
467,삽진산단 사거리,MPB101502053,34.8228286,126.3803865
468,삽진산단입구,MPB101502054,34.8219991,126.3825517
469,목포자동차등록사업소,MPB101502055,34.8134817,126.3772778
470,호반리젠시빌,MPB101502075,34.81497,126.419902
471,석현동,MPB101502077,34.8220964,126.4225276
472,석현동차고지,MPB101503001,34.8221161,126.4227176
473,우진아트빌,MPB101503003,34.818778,126.42118
474,호반리젠시빌,MPB101503004,34.815118,126.41952
475,한일시장,MPB101503011,34.806672,126.398478
476,용해하이츠,MPB101503013,34.81141,126.39938
477,용해동주민센터,MPB101503015,34.816192,126.399945
478,포미타운105동,MPB101503017,34.8173002,126.3962791
479,대연초등학교,MPB101503022,34.818992,126.399185
480,신동마을앞,MPB101503024,34.821378,126.389785
481,삽진산단입구,MPB101503025,34.82023,126.384462
482,목포기상대,MPB101503026,34.8178611,126.3833358
483,연산주공후문,MPB101503028,34.8113052,126.3830864
484,행운타워,MPB101503030,34.805423,126.376112
485,홍일중고등학교,MPB101503037,34.800322,126.375273
486,햇빛약국,MPB101503039,34.7980703,126.379109
487,양동우체국,MPB101503040,34.797588,126.380978
488,목포여고,MPB101503041,34.796802,126.3845545
489,목포역,MPB101503043,34.7918434,126.385922
490,원광한의원,MPB101503044,34.790152,126.386893
491,목포남초등학교입구,MPB101503045,34.7901679,126.3895678
492,삼학우체국,MPB101503047,34.7884143,126.3958312
493,목포복음교회,MPB101503050,34.7932986,126.3971991
494,자유시장,MPB101503052,34.7926339,126.4019682
495,근화황제아파트,MPB101503053,34.7899915,126.4034242
496,남해하수펌프장,MPB101503056,34.793272,126.412522
497,문화예술회관,MPB101503057,34.792503,126.417535
498,국립해양유물전시관,MPB101503058,34.792888,126.422757
499,중바위,MPB101503059,34.793875,126.424627
500,유달정보,MPB101503062,34.8004014,126.4284813
501,롯데마트,MPB101503063,34.7994207,126.4309831
502,우미블루빌(후문),MPB101503064,34.799853,126.434747
503,우미오션빌,MPB101503065,34.7982262,126.4367833
504,우미블루빌,MPB101503066,34.800462,126.43709
